DIVISION_FN,GRUPO_FN,META,FINALIDAD,UNIDAD_MEDIDA,CANT_META_SEM,AVAN_FISICO_SEM,SEC_FUNC,DEPARTAMENTO,PROVINCIA,DISTRITO,CATEGORIA_GASTO,GENERICA,SUBGENERICA,SUBGENERICA_DET,ESPECIFICA,ESPECIFICA_DET,MTO_PIA
51,114,5,235454,43,18,19,42,20,19,9,5,3,1,2,1,2,14050
51,114,4,235454,43,16,16,41,10,19,9,5,3,1,5,3,1,40047
6,8,19,888,248,6,6,22,22,1,99,5,3,1,5,1,2,718
6,8,17,888,248,6,6,20,20,1,99,5,3,2,2,1,1,1713
6,8,13,888,248,6,6,16,13,1,99,5,3,2,8,1,10,0
51,114,25,235454,43,4,4,62,23,1,99,5,3,2,4,7,1,1302
6,8,9,888,248,6,6,12,80,19,9,5,3,2,8,1,4,600
51,114,11,235454,43,63,63,48,80,19,9,5,3,2,6,3,2,12302
6,8,20,888,248,6,6,23,23,1,99,5,3,2,2,1,1,976
6,8,14,888,248,6,6,17,16,1,99,5,3,2,9,1,1,112230
51,114,4,235454,43,16,16,41,10,19,9,5,3,2,2,2,3,124583
51,114,14,235454,43,26,26,51,12,1,1,5,3,2,7,11,2,0
6,8,4,888,248,6,6,7,30,19,9,5,3,2,8,1,2,4666
51,114,9,235454,43,19,19,46,50,60,1,5,3,1,6,1,4,0
6,8,7,888,248,6,6,10,50,69,9,5,3,2,8,1,4,0
51,114,7,235454,43,17,17,44,40,19,9,5,3,2,6,3,2,6461
51,114,12,367089,96,0,0,67,16,2,6,6,5,2,2,1,99,0
51,114,25,235454,43,4,4,62,23,1,99,5,3,1,3,1,1,9608
51,114,10,235454,43,20,20,47,60,19,9,5,3,1,99,1,99,2345
6,8,7,888,248,6,6,10,50,69,9,5,3,2,6,3,99,0
6,8,2,888,248,6,6,5,10,19,9,5,3,1,5,3,1,1100
6,8,6,888,248,6,6,9,50,19,9,5,3,2,9,1,1,80033
51,114,13,235454,43,41,41,50,10,1,1,5,3,2,4,2,1,156000
6,8,22,72183,60,6,6,25,15,1,1,5,3,2,8,1,5,0
51,114,11,235454,43,63,63,48,80,19,9,5,3,2,8,1,1,1944000
6,8,16,888,248,6,6,19,19,1,99,5,3,2,5,1,1,33600
51,114,22,235454,43,12,12,59,20,1,99,5,3,1,2,1,1,0
6,11,1,53571,60,6,6,28,15,1,1,5,3,1,5,1,2,900
6,8,3,888,248,6,6,6,20,19,9,5,3,2,6,1,2,153
51,114,27,235455,60,6,6,64,15,1,1,5,3,2,8,1,4,13200
6,8,3,888,248,6,6,6,20,19,9,5,3,1,99,1,99,1725
51,114,8,235454,43,32,32,45,50,10,1,5,3,2,7,5,8,0
